pubmed_id,title,journal,abstract,keywords
40183482,EXPRESS: Pediatric AML Prognostication with an m6A-Focused Lasso Model.,Journal of investigative medicine : the official publication of the American Federation for Clinical Research (J Investig Med),"Acute myeloid leukemia (AML) presents varying prognoses in pediatric and adult patients, with
dysregulated m6A-related genes playing a pivotal role in its pathogenesis. Through an analysis of
single-cell RNA sequencing data from the Gene Expression Omnibus, we uncovered distinct patterns of
m6A gene expression specific to pediatric AML cases. Additionally, we devised a Lasso risk
regression model to evaluate prognosis within different AML subsets, showcasing the clinical utility
of m6A-related genes in predicting AML outcomes. Our study underscores the unique and significant
m6A gene expression profiles observed in pediatric AML, emphasizing their potential relevance in
prognostic assessment. The demonstrated effectiveness of the Lasso risk regression model further
underscores the importance of m6A-related genes as valuable predictors of AML outcomes. These
findings not only unveil novel insights into the prognostic implications of m6A-related genes in
pediatric AML but also advocate for their application as prognostic markers to enhance personalized
treatment strategies in both pediatric and adult AML populations.",Hematologic Diseases
40232841,Precision screening facilitates clinical classification of BRCA2-PALB2 binding variants with benign and pathogenic functional effects.,The Journal of clinical investigation (J Clin Invest),"Decoding the clinical impact of genetic variants is particularly important for precision medicine in
cancer. Genetic screening of mainly breast and ovarian cancer patients has identified numerous
BRCA1/BRCA2 'variants of uncertain significance' (VUS) that remain unclassified due to a lack of
pedigrees and functional data.  Here, we used CRISPR-Select - a technology that exploits unique
inbuilt controls at the endogenous locus - to assess 54 rare ClinVar VUS located in the
PALB2-binding domain (PBD) of BRCA2. Variant deleteriousness was examined in the absence and
presence of PARPi, Cisplatin, or Mitomycin C.  Marked functional deficiency was observed for
variants in the exon 2-donor splice region (A22 = (c.66A>C), A22 = (c.66A>G), A22 = (c.66A>T), and
D23H) and Trp31 amino acid (W31G, W31L, and W31C), both critical for BRCA2 function. Moreover, T10K
and G25R resulted in an intermediate phenotype, suggesting these variants are hypomorphic in nature.
Combining our functional results with the latest ClinGen BRCA1/2 Variant Curation Expert Panel
recommendations, we could classify 49 of the 54 VUS as either likely benign (n = 45) or likely
pathogenic (n = 4).  Hence, CRISPR-Select is an important tool for efficient variant clinical
classification. Application of this technology in the future will ultimately improve patient care.
Danish Cancer Society, Novo Nordisk Foundation, Sygeforsikring Danmark, Børnecancerfonden, Neye-
Fonden, Roche, Novartis, Pfizer, AstraZeneca, MSD, and Daiichi Sankyo Europe GmbH.","Breast cancer, DNA repair, Genetic diseases, Genetics, Oncology"
40157909,A novel clinically relevant antagonistic interplay between prolactin and oncogenic YAP-CCN2 pathways as a differentiation therapeutic target in breast cancer.,Cell death & disease (Cell Death Dis),"Cellular differentiation limits cellular plasticity allowing cells to attain their specialized
functional characteristics and phenotypes, whereas loss of differentiation is a hallmark of cancer.
Thus, characterizing mechanisms underlying differentiation is key to discover new cancer
therapeutics. We report a novel functional antagonistic relationship between the prolactin
(PRL)/prolactin receptor (PRLR) differentiation pathway and YAP-CCN2 oncogenic pathway in normal
mammary epithelial cells and breast cancer cells that is essential for establishing/maintaining
acinar morphogenesis, cell-cell junctions and the intracellular localization of apical-basal
polarity protein complexes (Par, Crumb and Scrib). Importantly, using CRISPR knockout of the PRLR in
MCF7, HR+ breast cancer cells, further revealed that the negative relationship between PRL/PRLR
pathway and YAP-CCN2 pathway is critical in suppressing luminal-to-basal stem-like lineage
plasticity. Furthermore, the clinical relevance of this interplay was evaluated using bioinformatics
approaches on several human datasets, including samples from normal breast epithelium, breast
cancer, and 33 other cancer types. This analysis revealed a positive correlation between PRLR and
the YAP suppressor Hippo pathway and a co-expression gene network driving favourable patients'
survival outcomes in breast cancer. The therapeutic potential of this interplay was also evaluated
in vitro using MDA-MB-231 cells, a preclinical model of human triple-negative breast cancer, where
treatment with PRL and Verteporfin, an FDA-approved pharmacological YAP-inhibitor, alone or their
combination suppressed the expression of the mesenchymal marker vimentin and the stem cell marker
CD44 as well as reduced their Ki67 proliferative marker expression. Collectively, our results
emphasize the pro-differentiation role of PRL/PRLR pathway in mammary and breast cancer cells and
highlight that promoting PRL/PRLR signaling while inhibiting the YAP-CCN2 oncogenic pathway can be
exploited as a differentiation-based combination therapeutic strategy in breast cancer.",
40242216,CRISPR-dependent base editing as a therapeutic strategy for rare monogenic disorders.,Frontiers in genome editing (Front Genome Ed),"Rare monogenic disorders are caused by mutations in single genes and have an incidence rate of less
than 0.5%. Due to their low prevalence, these diseases often attract limited research and commercial
interest, leading to significant unmet medical needs. In a therapeutic landscape where treatments
are targeted to manage symptoms, gene editing therapy emerges as a promising approach to craft
curative and lasting treatments for these patients, often referred to as ""one-and-done""
therapeutics. CRISPR-dependent base editing enables the precise correction of genetic mutations by
direct modification of DNA bases without creating potentially deleterious DNA double-strand breaks.
Base editors combine a nickase version of Cas9 with cytosine or adenine deaminases to convert C·G to
T·A and A·T to G·C, respectively. Together, cytosine (CBE) and adenine (ABE) base editors can
theoretically correct ∼95% of pathogenic transition mutations cataloged in ClinVar. This mini-review
explores the application of base editing as a therapeutic approach for rare monogenic disorders. It
provides an overview of the state of gene therapies and a comprehensive compilation of preclinical
studies using base editing to treat rare monogenic disorders. Key considerations for designing base
editing-driven therapeutics are summarized in a user-friendly guide for researchers interested in
applying this technology to a specific rare monogenic disorder. Finally, we discuss the prospects
and challenges for bench-to-bedside translation of base editing therapies for rare monogenic
disorders.","CRISPR-based therapeutics, base editing, gene therapy, mutation correction, rare monogenic disease"
40225866,Integrating Single-Cell and Bulk RNA Sequencing Data to Explore Sphingolipid Metabolism Molecular Signatures in Ovarian Cancer Prognosis: an Original Study.,International journal of medical sciences (Int J Med Sci),"<b>Background:</b> Ovarian cancer (OC) is the deadliest malignant tumor in the female reproductive
system. Sphingolipid metabolism (SM) is crucial for cellular function and has been linked to OC
progression. Dysregulation of sphingolipid pathways contributes to tumor growth, chemoresistance,
and metastasis in OC. Currently, investigations into the relationship between sphingolipid-related
genes (SRGs) and OC prognosis in their initial stages. Our study aimed to develop a novel molecular
subtyping based on SRGs and construct a signature to predict the prognosis of patients with OC,
immune cell infiltration characteristics, and chemotherapy sensitivity. <b>Methods:</b> Bulk and
single-cell RNA-sequencing data of OC was analyzed primarily from the TCGA and GEO databases. The
gene set related to the sphingolipid pathway (hsa00600) was selected from the SM pathway, and the
enrichment of SRGs was analyzed in the annotated single-cell sequencing data. The Scanpy function
was used to score the gene features of each cell and further identify differentially expressed
genes. By intersecting with the genes most closely related to SM activity identified through
Weighted Gene Co-expression Network Analysis (WGCNA) based on bulk RNA sequencing data, and after
performing univariate COX, multivariate COX and LASSO regression, three SRGs were identified.
Subsequently, the SRGs-related prognostic signature was constructed. The analysis was further
extended to clinical feature correlation, GSEA, tumor microenvironment (TME) analysis and
chemotherapy sensitivity analysis. Finally, the expression and function of the key gene GBP5 in the
model were validated through <i>in vitro</i> experiments. <b>Results:</b> Compared to other sites,
SRG scores were highest in ascites, and among different cell types, SRG scores were highest in T
cells. By integrating scRNA-seq and bulk RNA-seq analysis, three SRGs (C5AR1, GBP5, and MARCHF3)
were ultimately selected to develop a prognostic model for SRGs. In this model, patients with higher
risk scores had shorter overall survival, which was validated in the testing cohort. Immune
infiltration analysis revealed that the risk score was negatively correlated with the abundance of
CD8+ T cell infiltration and positively correlated with the abundance of M2 macrophage infiltration.
Chemotherapy sensitivity analysis showed that the high-risk group exhibited increased resistance to
Oxaliplatin, Gemcitabine, and Sorafenib. <i>In vitro</i>, we demonstrated that knockdown of the
protective gene GBP5 in HEYA8 and SKOV3 cells enhanced cell viability, proliferation, and
invasiveness, reduced apoptosis, and increased IC50 values for chemotherapy drugs.
<b>Conclusion:</b> Our model effectively identifies high-risk patients and provides a reference for
prognosis prediction using SRG signature. Moreover, hub gene GBP5 acts as a tumor inhibitory factor
and regulates the chemosensitivity of oxaliplatin, gemcitabine, and sorafenib in OC.","Chemotherapy drug sensitivity, GBP5, Immune infiltration, Ovarian cancer, Sphingolipid metabolism"
40163809,"Efficacy of a Novel BCL-xL Degrader, DT2216, in Preclinical Models of JAK2-mutated Post-MPN AML.",Blood (Blood),"Acute myeloid leukemia (AML) that evolves from myeloproliferative neoplasm (MPN) is known as post-
MPN AML. Current treatments don't significantly extend survival beyond 12 months. BCL-xL has been
found to be overexpressed in leucocytes from MPN patients, making it a potential therapeutic target.
We investigated the role of BCL-xL in post-MPN AML and tested the efficacy of DT2216, a platelet-
sparing BCL-xL proteolysis-targeting chimera (PROTAC), in preclinical models of post-MPN AML. We
found that BCL2L1, the gene encoding BCL-xL, is expressed at higher levels in post-MPN AML patients
compared to those with de novo AML. Single-cell multi-omics analysis revealed that leukemia cells
harboring both MPN-driver and TP53 mutations exhibited higher BCL2L1 expression, elevated scores for
leukemia stem cell, megakaryocyte development, and erythroid progenitor than wild-type cells. BH3
profiling confirmed a strong dependence on BCL-xL in post-MPN AML cells. DT2216 alone, or in
combination with standard AML/MPN therapies, effectively degraded BCL-xL, reduced the apoptotic
threshold, and induced apoptosis in post-MPN AML cells. DT2216 effectively eliminated viable cells
in JAK2-mutant AML cell lines, induced pluripotent stem cell-derived hematopoietic progenitor cells
(iPSC-HPCs), primary samples, and reduced tumor burden in cell line-derived xenograft model in vivo
by degrading BCL-xL. DT2216, either as a single agent or in combination with azacytidine,
effectively inhibited the clonogenic potential of CD34+ leukemia cells from post-MPN AML patients.
In summary, our data indicate that the survival of post-MPN AML is BCL-xL dependent, and DT2216 may
offer therapeutic advantage in this high-risk leukemia subset with limited treatment options.",
40165206,CRISPR screens with trastuzumab emtansine in HER2-positive breast cancer cell lines reveal new insights into drug resistance.,Breast cancer research : BCR (Breast Cancer Res),"Trastuzumab emtansine (T-DM1) is an antibody-drug conjugate that is an effective therapy for
HER2-positive breast cancer; however, its efficacy is limited by drug resistance. While multiple
mechanisms of resistance have been proposed, these are not yet well understood. Greater
understanding of T-DM1 sensitivity and resistance could provide new combination strategies to
overcome resistance or predictive biomarkers to guide therapy.  We have conducted CRISPR/Cas9
functional genomics modifier screens in HER2-positive breast cancer cell lines to allow for unbiased
discovery of T-DM1 sensitivity and resistance genes. Whole-genome knockout screens were carried out
in MDA-MB-361 and MDA-MB-453 cells treated with T-DM1 and its payload cytotoxin DM1. Hits were
validated in secondary T-DM1 screens using a focused single-guide RNA (sgRNA) library and
subsequently by individual gene knockout.  The whole-genome CRISPR screens with T-DM1 and DM1
identified 599 genes as potential modifiers of T-DM1 sensitivity and resistance. Of these, 17 genes
were significantly enriched and 3 genes depleted at P < 0.001 in either or both MDA-MB-361 and MDA-
MB-453 libraries in the secondary screens. Among the top hits, were known T-DM1 sensitivity genes
ERBB2 and SLC46A3, in addition to negative regulators of mTOR complex 1: TSC1 and TSC2. MDA-MB-453
clones with knockout of TSC1 or partial knockout of TSC2 were more resistant to T-DM1 than wild type
cells in competition growth assays and to T-DM1 and other HER2 targeting therapies (T-DXd, lapatinib
and neratinib) in growth inhibition assays, and had increased internalisation of T-DM1 at 6 h. T-DM1
and the mTOR inhibitor everolimus demonstrated synergistic activity at inhibiting cell proliferation
at multiple T-DM1 concentrations across four HER2-positive breast cancer cell lines.  Our CRISPR
screening approach with T-DM1 in HER2-positive breast cancer cell lines identified genes not
previously implicated in T-DM1 sensitivity or resistance, including TSC1 and TSC2. These genes may
inform new strategies to enhance T-DM1 therapy in the clinic.","Antibody-drug conjugates, CRISPR/Cas9, Drug resistance, Functional genomics, HER2-positive breast cancer, T-DM1, TSC1, TSC2"
40242591,Engineered Metal-Organic Frameworks for Targeted CRISPR/Cas9 Gene Editing.,ACS pharmacology & translational science (ACS Pharmacol Transl Sci),"The development of precise and efficient delivery systems is pivotal for advancing CRISPR/Cas9 gene-
editing technologies, particularly for therapeutic applications. Engineered metal-organic frameworks
(MOFs) have emerged as a promising class of inorganic nonviral vectors, offering unique advantages
such as tunable porosity, high cargo-loading capacity, and biocompatibility. This review explores
the design and application of MOF-based nanoplatforms tailored for the targeted delivery of
CRISPR/Cas9 components, aiming to enhance gene-editing precision and efficiency. By incorporating
stimuli-responsive linkers and bioactive ligands, these MOFs enable controlled release of
CRISPR/Cas9 payloads at the target site. Comparative discussions demonstrate superior performance of
MOFs over conventional nonviral systems in terms of stability, transfection efficiency, and reduced
off-target effects. Additionally, the intracellular trafficking mechanisms and the therapeutic
potential of these platforms in preclinical models are discussed. These findings highlight the
transformative potential of MOF-based delivery systems in overcoming the challenges associated with
gene-editing technologies, such as immunogenicity and cytotoxicity, paving the way for their
application in precision medicine. This review provides a blueprint for the integration of
nanotechnology and genome editing, advancing the frontier of nonviral therapeutic delivery systems.",
40121237,MCL‑1 safeguards activated hair follicle stem cells to enable adult hair regeneration.,Nature communications (Nat Commun),"Hair follicles cycle through expansion, regression and quiescence. To investigate the role of MCL‑1,
a BCL‑2 family protein with anti‑apoptotic and apoptosis‑unrelated functions, we delete Mcl‑1 within
the skin epithelium using constitutive and inducible systems. Constitutive Mcl‑1 deletion does not
impair hair follicle organogenesis but leads to gradual hair loss and elimination of hair follicle
stem cells. Acute Mcl‑1 deletion rapidly depletes activated hair follicle stem cells and completely
blocks depilation‑induced hair regeneration in adult mice, while quiescent hair follicle stem cells
remain unaffected. Single‑cell RNA‑seq profiling reveals the engagement of P53 and DNA mismatch
repair signaling in hair follicle stem cells upon depilation‑induced activation. Trp53 deletion
rescues hair regeneration defects caused by acute Mcl‑1 deletion, highlighting a critical interplay
between P53 and MCL‑1 in balancing proliferation and death. The ERBB pathway plays a central role in
sustaining the survival of adult activated hair follicle stem cells by promoting MCL‑1 protein
expression. Remarkably, the loss of a single Bak allele, a pro‑apoptotic Bcl‑2 effector gene,
rescues Mcl‑1 deletion‑induced defects in both hair follicles and mammary glands. These findings
demonstrate the pivotal role of MCL‑1 in inhibiting proliferation stress‑induced apoptosis when
quiescent stem cells activate to fuel tissue regeneration.",
40184463,Atf3 controls transitioning in female mitochondrial cardiomyopathy as identified by spatial and single-cell transcriptomics.,Science advances (Sci Adv),"Oxidative phosphorylation defects result in now intractable mitochondrial diseases (MD) with cardiac
involvement markedly affecting prognosis. The mechanisms underlying the transition from compensation
to dysfunction in response to metabolic deficiency remain unclear. Here, we used spatially resolved
transcriptomics and single-nucleus RNA sequencing (snRNA-seq) on the heart of a patient with
mitochondrial cardiomyopathy (MCM), combined with an MCM mouse model with cardiac-specific Ndufs6
knockdown (FS6KD). Cardiomyocytes demonstrated the most heterogeneous expression landscape among
cell types caused by metabolic perturbation, and pseudotime trajectory analysis revealed dynamic
cellular states transitioning from compensation to severe compromise. This progression coincided
with the transient up-regulation of a transcription factor, <i>ATF3</i>. Genetic ablation of
<i>Atf3</i> in FS6KD corroborated its pivotal role, effectively delaying cardiomyopathy progression
in a female-specific manner. Our findings highlight a fate-determining role of <i>ATF3</i> in female
MCM progression and that the latest transcriptomic analysis will help decipher the mechanisms
underlying MD progression.",
